aX,aY,aZ,gX,gY,gZ
0.114,0.077,1.197,9.033,24.963,2.747
0.114,0.072,1.182,9.766,27.649,1.892
0.115,0.064,1.176,9.949,30.273,1.343
0.109,0.043,1.169,10.620,32.349,1.404
0.111,0.010,1.173,10.437,33.691,1.770
0.096,-0.027,1.194,6.958,35.461,2.136
0.087,-0.066,1.223,-0.793,39.856,2.991
0.085,-0.079,1.268,-10.803,46.814,4.028
0.068,-0.074,1.316,-18.921,53.955,5.493
0.060,-0.061,1.359,-21.423,60.303,9.277
0.059,-0.037,1.374,-18.738,65.002,15.747
0.069,-0.016,1.375,-13.000,66.345,23.743
0.075,0.025,1.401,-8.240,65.918,32.532
0.092,0.071,1.429,-3.601,65.613,40.161
0.120,0.111,1.438,1.587,66.345,45.410
0.144,0.171,1.427,5.310,70.679,47.180
0.168,0.218,1.393,7.996,78.613,44.434
0.199,0.239,1.344,9.521,87.585,37.659
0.219,0.249,1.300,9.155,96.558,28.748
0.224,0.247,1.275,7.324,104.797,19.348
0.224,0.222,1.260,6.958,111.816,11.108
0.229,0.196,1.235,9.033,117.981,5.615
0.232,0.172,1.194,13.367,122.986,2.747
0.226,0.151,1.134,18.616,125.610,2.502

-0.405,-1.053,1.204,-10.193,-25.085,47.729
-0.443,-1.041,1.225,-2.625,-25.269,65.796
-0.469,-1.016,1.222,2.991,-22.339,83.130
-0.458,-0.949,1.223,4.028,-17.151,100.647
-0.413,-0.831,1.246,2.197,-11.902,119.446
-0.351,-0.704,1.268,1.770,-7.324,138.367
-0.287,-0.574,1.276,4.761,-2.808,155.762
-0.234,-0.468,1.258,10.071,1.709,170.837
-0.182,-0.375,1.220,15.076,7.202,184.021
-0.127,-0.279,1.184,16.602,12.878,196.411
-0.083,-0.168,1.180,14.526,17.273,208.252
-0.043,-0.000,1.224,11.780,19.348,221.375
0.037,0.263,1.320,11.963,18.921,236.572
0.172,0.561,1.371,19.470,17.090,247.986
0.332,0.835,1.373,33.020,15.564,247.742
0.506,0.988,1.316,45.776,15.808,232.361
0.637,1.044,1.249,47.913,16.602,203.064
0.753,1.023,1.230,38.086,21.851,167.358
0.838,0.958,1.227,23.376,31.494,131.714
0.904,0.938,1.239,9.888,42.419,101.196
0.955,0.960,1.199,1.404,52.368,78.003
1.017,0.981,1.168,-0.671,57.434,59.692
1.082,0.947,1.067,2.991,57.251,43.274
1.160,0.924,0.916,5.737,55.603,25.635
