aX,aY,aZ,gX,gY,gZ
0.231,-0.109,0.353,-192.566,181.213,-152.405
0.033,-0.790,0.532,-221.619,185.486,-149.109
-0.233,-1.414,0.878,-255.554,186.523,-133.911
-0.545,-1.987,1.423,-291.321,185.425,-106.323
-0.851,-2.403,2.070,-318.298,178.223,-59.998
-1.046,-2.463,2.795,-328.186,173.889,6.409
-1.102,-2.287,3.315,-298.950,177.490,85.510
-1.038,-2.137,3.721,-223.083,183.472,165.283
-1.045,-1.885,3.628,-104.980,180.786,240.356
-0.934,-1.573,3.297,-2.686,187.927,312.500
-0.745,-1.098,2.828,52.734,207.581,374.756
-0.620,-0.381,2.459,72.266,229.248,408.691
-0.483,0.684,1.953,81.238,256.470,421.936
-0.113,1.564,1.472,104.553,277.710,401.550
0.059,2.095,1.034,127.441,279.907,345.398
0.067,2.361,0.634,130.554,282.227,278.076
0.037,2.575,0.194,111.694,294.434,223.389
0.025,2.970,-0.053,80.872,307.007,181.396
-0.015,2.992,-0.557,61.890,305.603,145.935
0.136,3.390,-1.287,41.809,291.748,118.042
0.416,3.659,-1.631,19.653,249.878,89.783
0.549,3.747,-1.788,16.052,186.096,45.471
0.599,3.657,-1.925,25.024,124.451,-8.240
0.641,3.398,-2.007,31.860,67.871,-60.303
0.633,3.073,-1.997,32.898,12.756,-106.995
0.595,2.727,-1.809,30.945,-41.809,-146.057
0.548,2.325,-1.562,26.489,-87.219,-180.725
0.488,1.882,-1.307,16.602,-116.455,-211.487
0.352,1.332,-1.052,-0.305,-134.583,-237.366
0.295,0.631,-0.789,-30.518,-143.921,-257.996
0.149,-0.157,-0.324,-84.961,-150.085,-275.818
-0.171,-0.953,0.281,-159.363,-150.452,-285.645
-0.496,-1.682,1.065,-235.901,-139.343,-270.935
-0.745,-2.123,2.055,-298.767,-121.399,-225.464
-0.904,-2.237,3.102,-316.711,-99.060,-153.381
-0.995,-2.101,4.000,-265.808,-80.383,-69.031
-0.965,-1.894,4.000,-162.109,-70.129,11.780
-0.800,-1.965,4.000,-53.772,-31.372,75.562
-0.828,-1.898,4.000,40.894,37.048,115.295
-0.714,-1.799,3.996,100.403,118.347,146.545
-0.648,-1.620,3.055,116.638,183.655,172.791
-0.656,-1.234,2.268,120.850,210.144,196.228
-0.623,-0.697,1.688,135.925,209.045,228.699
-0.555,0.043,1.209,152.283,198.975,264.832
-0.463,0.968,0.716,157.715,188.599,293.762
-0.286,1.913,0.222,151.306,187.195,304.993
-0.064,2.749,-0.235,134.766,193.970,292.053
0.152,3.442,-0.607,117.310,204.163,253.174
0.275,3.691,-0.932,117.859,203.125,197.571
0.263,4.000,-1.776,124.329,194.153,136.536
0.473,4.000,-2.152,92.773,166.199,86.487
0.385,4.000,-2.398,50.964,121.216,35.645
0.546,4.000,-2.680,10.986,76.660,-3.601
0.746,4.000,-2.752,-33.020,27.222,-41.687
0.788,3.997,-2.623,-72.998,-34.973,-90.820
0.770,3.468,-2.260,-102.905,-95.032,-141.724
0.510,2.691,-1.721,-140.076,-142.578,-191.284
0.104,1.741,-1.052,-192.383,-170.959,-226.440
-0.079,0.726,-0.165,-256.531,-188.293,-235.779
-0.350,-0.089,1.000,-321.045,-201.111,-226.440
-0.365,-0.848,2.314,-363.892,-188.293,-191.467
-0.250,-1.418,3.440,-366.333,-151.489,-140.442
-0.116,-1.764,4.000,-327.942,-109.558,-82.336
0.118,-1.815,4.000,-262.146,-67.993,-18.982
0.308,-1.846,4.000,-172.485,-22.278,38.147
0.425,-2.022,4.000,-73.914,28.198,77.148
0.331,-2.149,4.000,10.193,79.712,109.802
0.230,-1.988,3.858,38.452,133.179,153.748
0.185,-1.540,3.172,46.753,179.016,195.374
0.113,-0.890,2.364,65.674,217.407,228.943
0.083,-0.063,1.517,88.806,241.699,252.136
0.034,0.823,0.771,101.440,247.803,262.451
0.049,1.722,0.054,95.764,249.084,256.531
0.085,2.572,-0.652,69.519,249.756,231.445
0.109,3.156,-1.294,30.334,246.399,182.373
0.100,3.347,-1.616,-2.747,229.980,118.042
-0.091,3.382,-2.221,-19.470,204.590,51.025
-0.187,3.333,-2.679,-66.406,182.556,0.610
-0.227,3.237,-3.020,-137.146,162.476,-34.424
-0.119,3.203,-3.331,-195.068,146.118,-57.068
-0.103,3.125,-3.521,-230.896,107.178,-83.862
-0.218,2.859,-3.668,-243.713,46.570,-113.220
-0.482,2.559,-3.477,-242.981,-39.978,-138.306
-0.798,2.121,-3.003,-238.525,-127.197,-151.184
-1.069,1.520,-2.475,-242.371,-192.139,-152.893
-1.253,0.983,-1.904,-278.076,-228.516,-145.203
-1.363,0.622,-1.279,-349.548,-235.657,-123.291
-1.328,0.502,-0.595,-435.608,-225.220,-83.069
-1.250,0.563,0.178,-504.700,-214.355,-33.264
-1.168,0.718,1.065,-529.297,-213.623,18.616
-1.005,0.843,1.925,-500.183,-219.055,75.745
-0.760,0.982,2.734,-433.960,-216.064,129.517
-0.376,1.162,3.429,-343.872,-186.829,171.875
-0.026,1.319,3.816,-236.206,-138.062,195.496
0.364,1.531,3.947,-129.700,-82.397,200.684
0.859,1.592,3.811,-33.813,-24.536,187.622
1.164,1.450,3.450,36.987,25.818,152.832
1.248,1.164,3.046,77.820,63.354,107.727
1.244,0.872,2.750,101.196,87.646,72.021
1.187,0.760,2.450,122.559,109.192,54.016
1.113,0.871,2.038,148.926,132.629,48.401
1.013,1.059,1.555,184.265,153.259,46.143
0.900,1.303,1.000,227.600,171.021,42.603
0.853,1.608,0.324,265.564,191.711,32.715
0.732,1.879,-0.436,286.072,206.299,14.282
0.578,2.090,-1.169,282.288,215.881,-14.160
0.437,2.276,-1.786,258.179,218.445,-43.640
0.128,2.128,-2.653,229.553,214.722,-66.040

0.145,2.412,-3.805,157.104,148.010,-64.941
0.164,2.459,-3.907,126.038,88.806,-72.021
0.131,2.414,-3.833,113.098,25.330,-86.731
0.073,2.203,-3.699,116.089,-39.734,-103.943
-0.058,1.809,-3.427,118.164,-106.995,-120.911
-0.232,1.218,-2.936,93.628,-168.396,-134.888
-0.392,0.583,-2.145,15.808,-206.055,-140.320
-0.605,0.157,-1.116,-117.310,-213.623,-133.850
-0.715,0.057,0.188,-270.752,-193.481,-111.145
-0.644,0.300,1.736,-378.662,-162.842,-72.449
-0.418,0.582,3.242,-366.089,-138.550,-29.968
-0.160,0.607,4.000,-220.886,-125.671,7.202
0.154,0.470,4.000,-28.198,-113.037,41.504
0.436,0.327,4.000,106.567,-75.439,68.604
0.634,0.173,3.704,147.034,-13.733,78.003
0.874,0.023,3.175,126.709,52.063,66.956
0.761,-0.180,2.534,100.647,95.032,42.603
0.538,-0.240,1.857,94.604,121.399,27.588
0.350,-0.007,1.023,115.906,139.587,33.386
0.275,0.416,-0.052,148.743,154.907,53.406
0.292,0.930,-1.158,174.805,155.640,70.801
0.284,1.449,-2.257,186.096,141.296,75.684
0.307,1.877,-3.195,178.650,114.258,71.472
0.438,2.257,-3.730,151.123,72.754,61.218
0.455,2.398,-3.999,116.516,18.982,41.016
0.499,2.554,-4.000,82.642,-36.865,14.404
0.528,2.568,-3.981,52.795,-97.900,-17.456
0.438,2.355,-3.520,19.775,-153.198,-55.054
0.263,2.025,-2.710,-0.916,-210.937,-90.820
-0.041,1.442,-1.568,-13.489,-272.400,-121.155
-0.269,0.878,-0.126,-43.152,-315.186,-137.878
-0.349,0.469,1.309,-78.613,-323.730,-130.005
-0.329,0.137,2.753,-100.891,-310.181,-108.887
-0.300,-0.020,4.000,-114.258,-276.550,-85.938
-0.217,-0.034,4.000,-104.309,-212.402,-63.599
-0.263,-0.078,4.000,-49.683,-130.798,-42.664
-0.204,-0.243,4.000,41.626,-54.138,-20.752
-0.206,-0.500,4.000,138.733,14.771,0.854
-0.132,-0.550,3.179,211.426,74.341,23.010
-0.056,-0.303,1.768,256.592,120.605,49.377
0.057,0.259,0.260,263.184,155.334,74.585
0.236,0.933,-1.140,244.446,157.593,91.003
0.477,1.732,-2.188,213.928,124.512,101.868
0.808,2.651,-2.665,190.186,71.472,106.079
0.925,3.068,-3.026,192.627,11.902,95.703
1.193,3.697,-3.064,204.285,-42.969,75.256
1.367,3.869,-2.829,221.436,-97.595,43.335
1.461,3.776,-2.476,239.258,-147.400,-5.005
1.273,3.368,-2.029,257.507,-200.684,-61.707
