Time,Sample,FFT,PSD
405.052717,767.000,nan,nan
405.052754,751.000,nan,nan
405.052792,732.000,nan,nan
405.052830,714.000,nan,nan
405.052867,698.000,nan,nan
405.052905,681.000,nan,nan
405.052942,672.000,nan,nan
405.052980,651.000,nan,nan
405.053017,628.000,nan,nan
405.053055,614.000,nan,nan
405.053092,592.000,nan,nan
405.053130,576.000,nan,nan
405.053168,556.000,nan,nan
405.053205,537.000,nan,nan
405.053243,522.000,nan,nan
405.053307,493.000,nan,nan
405.053346,474.000,nan,nan
405.053383,459.000,nan,nan
405.053421,448.000,nan,nan
405.053458,430.000,nan,nan
405.053496,409.000,nan,nan
405.053533,392.000,nan,nan
405.053571,368.000,nan,nan
405.053608,348.000,nan,nan
405.053663,330.000,nan,nan
405.053700,312.000,nan,nan
405.053738,297.000,nan,nan
405.053775,276.000,nan,nan
405.053813,264.000,nan,nan
405.053851,242.000,nan,nan
405.053888,225.000,nan,nan
405.053926,212.000,nan,nan
405.053963,196.000,nan,nan
405.054001,177.000,nan,nan
405.054038,156.000,nan,nan
405.054076,140.000,nan,nan
405.054113,126.000,nan,nan
405.054151,102.000,nan,nan
405.054189,86.000,nan,nan
405.054226,73.000,nan,nan
405.054264,54.000,nan,nan
405.054329,25.000,nan,nan
405.054367,9.000,nan,nan
405.054404,4.000,nan,nan
405.054442,16.000,nan,nan
405.054480,35.000,nan,nan
405.054517,50.000,nan,nan
405.054555,69.000,nan,nan
405.054592,87.000,nan,nan
405.054647,114.000,nan,nan
405.054685,125.000,nan,nan
405.054722,144.000,nan,nan
405.054760,165.000,nan,nan
405.054797,186.000,nan,nan
405.054835,202.000,nan,nan
405.054872,223.000,nan,nan
405.054910,241.000,nan,nan
405.054947,253.000,nan,nan
405.054985,270.000,nan,nan
405.055023,283.000,nan,nan
405.055060,304.000,nan,nan
405.055098,320.000,nan,nan
405.055135,344.000,nan,nan
405.055173,357.000,nan,nan
405.055210,382.000,nan,nan
405.055248,391.000,nan,nan
405.055286,409.000,nan,nan
405.055343,436.000,nan,nan
405.055381,456.000,nan,nan
405.055418,474.000,nan,nan
405.055456,490.000,nan,nan
405.055493,502.000,nan,nan
405.055531,520.000,nan,nan
405.055568,538.000,nan,nan
405.055606,547.000,nan,nan
405.055660,583.000,nan,nan
405.055698,601.000,nan,nan
405.055736,614.000,nan,nan
405.055773,632.000,nan,nan
405.055811,650.000,nan,nan
405.055848,672.000,nan,nan
405.055886,694.000,nan,nan
405.055924,706.000,nan,nan
405.055961,721.000,nan,nan
405.055999,741.000,nan,nan
405.056036,757.000,nan,nan
405.056074,767.000,nan,nan
405.056111,752.000,nan,nan
405.056149,736.000,nan,nan
405.056186,717.000,nan,nan
405.056224,699.000,nan,nan
405.056262,682.000,nan,nan
405.056299,664.000,nan,nan
405.056357,634.000,nan,nan
405.056394,619.000,nan,nan
405.056432,602.000,nan,nan
405.056469,584.000,nan,nan
405.056507,569.000,nan,nan
405.056544,549.000,nan,nan
405.056582,531.000,nan,nan
405.056619,515.000,nan,nan
405.056667,491.000,nan,nan
405.056705,476.000,nan,nan
405.056743,462.000,nan,nan
405.056780,440.000,nan,nan
405.056818,424.000,nan,nan
405.056855,408.000,nan,nan
405.056893,385.000,nan,nan
405.056930,368.000,nan,nan
405.056968,352.000,nan,nan
405.057006,333.000,nan,nan
405.057043,316.000,nan,nan
405.057081,306.000,nan,nan
405.057118,284.000,nan,nan
405.057156,268.000,nan,nan
405.057193,256.000,nan,nan
405.057231,232.000,nan,nan
405.057269,213.000,nan,nan
405.057334,182.000,nan,nan
405.057371,166.000,nan,nan
405.057409,145.000,nan,nan
405.057446,131.000,nan,nan
405.057484,118.000,nan,nan
405.057521,97.000,nan,nan
