aX,aY,aZ,gX,gY,gZ
-1.316,-0.435,1.820,-231.995,320.801,242.493
-1.321,-0.277,1.622,-255.859,324.097,216.614
-1.323,-0.125,1.481,-282.471,318.481,187.012
-1.349,0.063,1.267,-318.726,304.199,149.536
-1.389,0.234,1.013,-361.389,281.982,108.154
-1.383,0.380,0.746,-411.316,243.774,57.861
-1.286,0.486,0.577,-464.233,189.453,-4.883
-1.167,0.419,0.502,-504.700,135.010,-69.397
-1.030,0.285,0.440,-530.029,93.079,-126.953
-0.892,0.091,0.320,-536.926,65.063,-171.448
-0.788,-0.113,0.096,-526.489,42.358,-201.355
-0.728,-0.255,-0.144,-504.944,13.306,-218.811
-0.675,-0.304,-0.382,-477.905,-32.837,-229.309
-0.628,-0.374,-0.462,-449.341,-91.248,-231.934
-0.619,-0.456,-0.488,-421.875,-146.240,-230.713
-0.588,-0.521,-0.464,-390.381,-193.665,-229.004
-0.589,-0.613,-0.435,-347.717,-232.483,-227.661
-0.590,-0.676,-0.424,-287.109,-260.437,-228.333
-0.633,-0.786,-0.371,-207.214,-276.306,-228.943

-0.093,-1.604,1.000,207.275,-411.682,0.671
-0.130,-1.591,1.080,247.864,-386.658,41.443
-0.227,-1.539,1.171,275.452,-355.774,90.210
-0.411,-1.452,1.310,294.556,-325.562,143.188
-0.601,-1.370,1.483,310.547,-304.016,194.214
-0.803,-1.299,1.602,325.562,-309.937,235.779
-0.996,-1.300,1.700,334.839,-334.778,268.982
-1.045,-1.337,1.868,329.163,-344.055,299.866
-1.036,-1.391,2.120,312.500,-334.167,330.261
-1.021,-1.458,2.352,299.194,-306.824,358.826
-1.057,-1.490,2.543,294.067,-255.493,381.226
-1.157,-1.552,2.634,292.175,-186.768,396.301
-1.201,-1.542,2.661,276.611,-121.399,402.832
-1.204,-1.588,2.726,240.356,-74.829,404.724
-1.313,-1.423,2.699,178.589,-47.058,397.339
-1.247,-1.179,2.679,111.755,-24.109,379.822
-1.143,-1.057,2.651,50.293,14.526,367.310
-1.049,-1.019,2.570,-12.085,65.125,358.765
-1.005,-1.050,2.414,-72.693,115.906,353.027
-0.922,-1.053,2.332,-125.427,171.082,349.487
-0.914,-1.072,2.204,-160.950,226.746,346.558
-1.025,-1.232,2.088,-179.687,275.635,337.280
-1.227,-1.170,1.911,-191.833,307.861,311.951
-1.338,-0.771,1.537,-201.721,312.500,269.287
-1.299,-0.498,1.280,-197.388,310.913,231.750
-1.244,-0.296,1.126,-194.763,304.871,198.059
-1.161,-0.142,1.002,-212.646,289.368,163.025
-1.060,-0.001,0.945,-252.930,272.583,128.357
-1.019,0.116,0.836,-306.274,249.878,94.238
-1.003,0.192,0.704,-370.056,215.210,54.565
-0.942,0.243,0.600,-438.904,170.349,8.362
