aX,aY,aZ,gX,gY,gZ
-0.924,-0.005,-0.490,3.113,-3.540,9.827
-0.928,-0.039,-0.433,-0.244,4.822,13.611
-0.932,-0.042,-0.380,-6.104,12.268,15.991
-0.928,-0.018,-0.335,-10.132,16.357,17.151
-0.922,0.004,-0.280,-8.850,17.883,18.555
-0.906,-0.015,-0.214,-1.587,18.250,21.301
-0.909,-0.054,-0.174,7.568,16.052,25.635
-0.915,-0.099,-0.173,13.184,11.475,28.809
-0.922,-0.119,-0.200,12.634,6.409,28.809
-0.928,-0.096,-0.267,7.874,2.686,27.222
-0.935,-0.073,-0.341,2.686,1.099,24.841
-0.935,-0.065,-0.410,-1.953,1.404,22.644
-0.928,-0.053,-0.485,-7.263,4.333,20.325
-0.912,-0.038,-0.559,-13.123,10.254,18.433
-0.898,-0.015,-0.639,-18.494,17.883,17.395
-0.888,-0.001,-0.703,-20.325,26.306,16.663
-0.880,0.005,-0.748,-17.944,35.828,16.541
-0.880,-0.001,-0.775,-12.207,46.753,16.052
-0.864,-0.034,-0.780,-5.493,59.265,14.709
-0.865,-0.036,-0.760,-1.526,72.815,11.414
-0.815,-0.019,-0.734,-4.028,88.806,6.165
-0.794,-0.000,-0.707,-6.714,101.563,3.296
-0.781,0.007,-0.694,-5.676,108.887,3.113
-0.771,-0.030,-0.659,-2.625,114.868,5.371
-0.775,-0.093,-0.594,0.916,122.070,9.460
-0.782,-0.142,-0.521,4.700,130.066,12.756
-0.769,-0.164,-0.444,6.409,139.526,12.939
-0.749,-0.172,-0.349,5.798,149.902,12.451
-0.732,-0.168,-0.258,4.028,159.668,12.634
-0.720,-0.162,-0.182,3.174,166.382,11.719
-0.708,-0.158,-0.125,3.906,169.250,8.545
-0.716,-0.154,-0.087,5.920,168.640,4.150
-0.724,-0.171,-0.026,7.507,168.579,0.122
-0.705,-0.169,0.048,4.150,175.171,-3.174
-0.657,-0.127,0.127,-5.615,186.401,-5.432
-0.622,-0.057,0.180,-18.188,196.594,-5.737
-0.602,-0.016,0.246,-26.306,202.820,-3.784
-0.576,0.043,0.328,-23.071,204.956,-1.526
-0.564,0.081,0.391,-8.667,203.064,0.549
-0.570,0.001,0.462,13.367,195.923,4.517
-0.579,-0.110,0.503,34.485,187.378,9.277
-0.614,-0.208,0.543,44.678,182.312,10.376
-0.658,-0.343,0.619,41.321,182.983,7.751
-0.654,-0.403,0.744,22.827,193.787,0.488
-0.606,-0.321,0.880,-7.141,211.182,-11.047
-0.553,-0.188,1.009,-36.133,223.267,-22.217
-0.502,-0.048,1.096,-52.856,220.825,-26.062
-0.500,0.045,1.127,-53.162,202.087,-21.362
-0.497,0.030,1.129,-40.894,173.096,-10.498
-0.508,-0.007,1.087,-24.292,148.010,0.305
-0.574,-0.105,1.073,-8.728,130.676,8.179
-0.606,-0.257,1.099,2.502,121.277,10.681
-0.606,-0.329,1.131,0.793,126.343,5.432
-0.609,-0.299,1.149,-13.123,141.052,-4.028
-0.595,-0.233,1.143,-30.151,151.367,-12.085
-0.592,-0.152,1.096,-45.166,154.480,-16.479
-0.543,-0.074,1.039,-56.946,153.687,-18.494
-0.603,0.015,1.049,-66.467,139.832,-20.813
-0.548,0.073,1.044,-61.462,126.892,-17.822
-0.448,0.113,1.098,-56.580,121.521,-15.076
-0.399,0.121,1.111,-43.213,106.628,-7.141
-0.391,0.118,1.102,-19.958,88.745,-1.343
-0.409,0.084,1.067,5.493,72.754,3.113
-0.435,0.024,1.021,27.527,55.176,3.967
-0.451,-0.075,1.031,43.030,41.321,0.916
-0.436,-0.159,1.064,45.288,37.109,-3.906
-0.426,-0.186,1.090,33.752,41.626,-9.216
-0.425,-0.162,1.103,13.184,49.622,-12.451
-0.429,-0.108,1.092,-9.155,56.824,-12.024
-0.437,-0.043,1.055,-29.114,61.829,-8.789
-0.441,0.006,1.002,-43.457,62.988,-4.395
-0.447,0.034,0.967,-51.147,60.791,0.488
-0.432,0.058,0.961,-52.185,57.434,5.432
-0.410,0.047,0.969,-46.509,53.833,8.667
-0.392,0.011,0.991,-34.973,48.950,10.742
-0.391,-0.009,1.013,-20.569,44.434,9.827
-0.391,-0.009,1.013,-5.859,38.330,5.981
-0.398,-0.010,1.001,9.644,28.381,1.038
-0.413,-0.011,0.971,25.513,16.541,-2.380
-0.435,-0.027,0.934,38.696,6.348,-4.272
-0.445,-0.054,0.917,44.678,0.977,-5.005
-0.441,-0.094,0.912,41.321,1.953,-4.761
-0.432,-0.120,0.922,28.809,8.728,-4.150
-0.421,-0.110,0.940,11.414,18.738,-4.150
-0.409,-0.072,0.964,-5.615,29.480,-4.272
-0.396,-0.018,0.993,-16.968,34.912,-4.395
-0.382,0.027,1.008,-19.409,32.959,-3.906
-0.381,0.049,0.999,-14.465,24.536,-1.831
-0.389,0.047,0.970,-5.920,14.099,1.160
-0.399,0.026,0.938,2.197,4.761,3.418
-0.400,-0.010,0.917,6.775,-0.305,4.883
-0.392,-0.040,0.915,6.775,-0.305,5.493
-0.388,-0.052,0.918,2.991,4.272,5.310
-0.387,-0.044,0.923,-3.113,10.681,4.456
-0.379,-0.026,0.936,-9.033,15.686,3.662
-0.375,-0.011,0.948,-12.695,18.677,3.540
-0.368,0.006,0.957,-13.611,19.531,3.235
-0.366,0.024,0.960,-11.475,17.883,2.747

-0.325,0.419,2.264,-25.940,19.165,7.812
-0.261,0.481,2.665,-33.630,9.094,16.663
-0.144,0.529,3.024,-38.513,-9.766,25.635
0.023,0.633,3.333,-37.537,-39.124,32.654
0.109,0.675,3.462,-28.320,-89.172,41.199
0.195,0.620,3.412,-16.418,-159.912,54.138
0.249,0.489,3.167,-14.954,-233.887,68.970
0.266,0.345,2.704,-34.119,-299.683,85.510
0.389,0.197,2.193,-62.378,-351.929,103.394
0.405,0.067,1.550,-84.595,-394.043,115.295
0.453,-0.030,1.028,-85.754,-432.251,124.084
